repo_full_name,kind,number_or_sha,project_dir,title,linked_issues,kicad_pcb,kicad_sch,kicad_pro,kicad_lines,semantic_lines,body_clean_chars,html_url
AnaviTechnology/anavi-macro-pad-8,commit,76a4e402807614421ed1a53915fb45bf5027c040,,anavi-macro-pad-8: Fix I2C protection resistors,[4],1,1,0,12,12,297,https://github.com/AnaviTechnology/anavi-macro-pad-8/commit/76a4e402807614421ed1a53915fb45bf5027c040
BennetLeff/temper,commit,f6d0a620cd095ba928acd1b18a732a513c1910a7,pcb,"fix(pcb): C7 to (112,206) rot180 — clears the 77mm² C7↔K1 body interpenetration (#1498)","[1471, 1490, 1491]",1,0,0,6,6,4758,https://github.com/BennetLeff/temper/commit/f6d0a620cd095ba928acd1b18a732a513c1910a7
BennetLeff/temper,pull_request,524,pcb,feat(pcb): swap K2 discharge relay to TE Schrack RT314012; K3 blocked on placement,[523],1,0,0,141,124,3242,https://github.com/BennetLeff/temper/pull/524
BennetLeff/temper,pull_request,1498,pcb,"fix(pcb): C7 to (112,206) rot180 — clears the 77mm² C7↔K1 body interpenetration","[1471, 1490]",1,0,0,6,6,3400,https://github.com/BennetLeff/temper/pull/1498
DotBots/DotBot-hardware,commit,b73e312f6ca11aff4dea63c00273092627146340,pcb,#12 Flip header on the template shield.,[12],1,0,0,254,232,130,https://github.com/DotBots/DotBot-hardware/commit/b73e312f6ca11aff4dea63c00273092627146340
EnAccess/OpenSmartMeter,pull_request,123,hardware/pcb_cad_design,Add missing step files,[99],1,0,0,6,6,352,https://github.com/EnAccess/OpenSmartMeter/pull/123
EventAccess/NFCScanner,pull_request,51,hardware/NfcCarrierBoard,3D printed case,[20],1,1,0,336,244,142,https://github.com/EventAccess/NFCScanner/pull/51
Fortinbra/FUSB302Breakout,commit,7487101c4cfb8e0a5863f9c9f28ae7c8b1d1210b,src,Fix wrong footprints on R1/R2/R3 and impossible C6 value,[1],1,1,1,2627,2215,237,https://github.com/Fortinbra/FUSB302Breakout/commit/7487101c4cfb8e0a5863f9c9f28ae7c8b1d1210b
FozzTexx/fujiversal-pcb-prototype,pull_request,2,Bus-proto,M3 mounting holes with ground connection,[1],1,0,1,656,244,583,https://github.com/FozzTexx/fujiversal-pcb-prototype/pull/2
Kampi/BeeLight,pull_request,51,hardware,Task: Issue #49,[49],1,0,0,6,6,505,https://github.com/Kampi/BeeLight/pull/51
